namespace,service,p50_seconds,p95_seconds,p99_seconds
bookinfo,productpage.bookinfo.svc.cluster.local,706.7646122151508,2251.948632205693,2668.525316121221
teastore,teastore-webui.teastore.svc.cluster.local,1.7814386799224773,38.93409303245407,88.14363102640984
bookinfo,details.bookinfo.svc.cluster.local,2.9434894802754203,4.419588284762119,4.550797067383159
sock-shop,front-end.sock-shop.svc.cluster.local,2.8984221711174105,4.392465645181357,4.525269509542597
bookinfo,reviews.bookinfo.svc.cluster.local,0.4481800909985555,0.8664030179978608,0.9037513197734497
bookinfo,ratings.bookinfo.svc.cluster.local,0.07381495384604517,0.26757288069586976,0.2847958075269652
teastore,teastore-registry.teastore.svc.cluster.local,0.016441045567946136,0.028175663135050644,0.029218740252126604
sock-shop,payment.sock-shop.svc.cluster.local,0.0002224849726125268,0.006788061919504644,0.013162937461300303
sock-shop,catalogue.sock-shop.svc.cluster.local,0.0002258333253949353,0.004643409700722394,0.005721879050567594
sock-shop,user.sock-shop.svc.cluster.local,0.00019560007284647607,0.0004609938080495353,0.0005758643962848296
sock-shop,shipping.sock-shop.svc.cluster.local,0.00018883834422657954,0.00031866470588235243,0.0005493172549019609
sock-shop,queue-master.sock-shop.svc.cluster.local,0.00018548297213622292,0.00029677275541795665,0.0003066651805985552
sock-shop,carts.sock-shop.svc.cluster.local,0.00018505820433436536,0.00029609312693498454,0.0003059628978328174
sock-shop,orders.sock-shop.svc.cluster.local,0.00018078761609907122,0.00028926018575851394,0.0002989021919504644
