namespace,service,p50_seconds,p95_seconds,p99_seconds
bookinfo,productpage.bookinfo.svc.cluster.local,677.0671145571972,2206.8271498140066,2568.26025781504
teastore,teastore-webui.teastore.svc.cluster.local,1.3085393512587542,30.134488021021237,63.207363270862494
sock-shop,front-end.sock-shop.svc.cluster.local,2.9342296129136156,4.396237810918974,4.526194095186117
bookinfo,details.bookinfo.svc.cluster.local,2.8765775560169136,4.352457565192727,4.483646899341687
bookinfo,reviews.bookinfo.svc.cluster.local,0.4277756132977922,0.851576138986573,0.8899069558757366
bookinfo,ratings.bookinfo.svc.cluster.local,0.06323341401444095,0.26725811832489466,0.28539364759693503
teastore,teastore-registry.teastore.svc.cluster.local,0.01619067950617999,0.027810312532488772,0.02884316880149399
sock-shop,catalogue.sock-shop.svc.cluster.local,0.00022630920328919226,0.0031987935464914703,0.005514110780142436
sock-shop,payment.sock-shop.svc.cluster.local,0.000256526406926407,0.0006904380952380965,0.0013388495238095249
sock-shop,user.sock-shop.svc.cluster.local,0.00022833322695417672,0.0006608490510885313,0.0013616564168940422
sock-shop,shipping.sock-shop.svc.cluster.local,0.000185144099378882,0.0002962305590062112,0.0003061049109730849
sock-shop,orders.sock-shop.svc.cluster.local,0.0001838335403726708,0.0002941336645962732,0.00030393812008281567
sock-shop,queue-master.sock-shop.svc.cluster.local,0.0001792267080745342,0.00028676273291925467,0.00029632149068322983
sock-shop,carts.sock-shop.svc.cluster.local,0.00017880062111801247,0.0002860809937888199,0.00029561702691511394
